customer_id,customer_name,email,city,state,signup_date,customer_segment
C100000,Priya Kumar,user0@mail.com,Ahmedabad,Rajasthan,2023-02-22,New
C100001,Vijay Devi,user1@mail.com,Jaipur,Tamil Nadu,2021-08-12,Premium
C100002,Kavya Prakash,user2@mail.com,Pune,Rajasthan,2022-07-17,Regular
C100003,Priya Gupta,user3@mail.com,Jaipur,Rajasthan,2022-01-02,VIP
C100004,Karthik Sharma,user4@mail.com,Jaipur,Tamil Nadu,2021-11-08,Premium
C100005,Deepa Kumar,user5@mail.com,Bangalore,West Bengal,2023-12-13,Premium
C100006,Arun Raj,user6@mail.com,Pune,Telangana,2024-09-19,VIP
C100007,Ramesh Devi,user7@mail.com,chennai,Telangana,2022-08-22,New
C100008,Arun Pillai,user8@mail.com,Delhi,Karnataka,2023-10-20,Premium
C100009,Ramesh Rao,user9@mail.com,CHENNAI,Tamil Nadu,2022-08-11,Premium
C100010,Deepa Devi,user10@mail.com,CHENNAI,Tamil Nadu,2023-02-27,Regular
C100011,Sathish Sharma,user11@mail.com,Ahmedabad,Maharashtra,2024-04-15,Regular
C100012,Vijay Kumar,user12@mail.com,Jaipur,Rajasthan,2023-09-24,VIP
C100013,Anitha Rao,user13@mail.com,Ahmedabad,Karnataka,2023-12-04,New
C100014,Deepa Iyer,user14@mail.com,Chennai,Maharashtra,2022-12-06,New
C100015,Vijay Prakash,user15@mail.com,Coimbatore,West Bengal,2021-09-08,VIP
C100016,Ramesh Iyer,user16@mail.com,Chennai,Maharashtra,2022-03-08,Regular
C100017,Priya Raj,user17@mail.com,Kolkata,Delhi,2023-05-15,Premium
C100018,Manoj Raj,user18@mail.com,Coimbatore,Rajasthan,2023-12-17,Premium
C100019,Lakshmi Iyer,user19@mail.com,CHENNAI,Delhi,2021-05-31,New
C100020,Vijay Kumar,user20@mail.com,CHENNAI,Telangana,2024-05-28,Regular
C100021,Sathish Pillai,user21@mail.com,Kolkata,Delhi,2022-07-16,Regular
C100022,Priya Reddy,user22@mail.com,Bangalore,Maharashtra,2024-01-11,Premium
C100023,Karthik Pillai,user23@mail.com,Ahmedabad,Delhi,2021-02-14,Regular
C100024,Meena Gupta,user24@mail.com,Hyderabad,Uttar Pradesh,2024-08-06,VIP
C100025,Lakshmi Sharma,user25@mail.com,Mumbai,Telangana,2022-07-18,VIP
C100026,Ramesh Rao,user26@mail.com,delhi,Gujarat,2022-06-30,Regular
C100027,Karthik Kumar,user27@mail.com,CHENNAI,Rajasthan,2023-02-10,VIP
C100028,Kavya Murthy,user28@mail.com,Kolkata,Delhi,2022-04-21,Premium
C100029,Karthik Devi,user29@mail.com,Hyderabad,West Bengal,2022-11-21,New
C100030,Priya Reddy,user30@mail.com,Chennai,Tamil Nadu,2024-11-05,Premium
C100031,Vijay Nair,user31@mail.com,Lucknow,Telangana,2024-02-01,VIP
C100032,Lakshmi Prakash,user32@mail.com,Coimbatore,Telangana,2021-03-21,Regular
C100033,Lakshmi Iyer,user33@mail.com,Hyderabad,Telangana,2021-03-29,Premium
C100034,Ramesh Gupta,user34@mail.com,Kolkata,Delhi,2024-07-30,Regular
C100035,Vijay Rao,user35@mail.com,Hyderabad,Telangana,2024-08-22,New
C100036,Karthik Sharma,user36@mail.com,delhi,Maharashtra,2021-10-02,VIP
C100037,Anitha Pillai,user37@mail.com,Coimbatore,Rajasthan,2023-07-11,VIP
C100038,Kavya Prakash,user38@mail.com,Kolkata,Rajasthan,2021-10-08,VIP
C100039,Sathish Reddy,user39@mail.com,chennai,West Bengal,2024-06-04,VIP
C100040,Vijay Gupta,user40@mail.com,Chennai,Uttar Pradesh,2021-07-11,VIP
C100041,Kavya Gupta,user41@mail.com,Pune,Telangana,2023-07-04,Regular
C100042,Ganesh Kumar,user42@mail.com,Mumbai,Gujarat,2021-07-28,Regular
C100043,Kavya Kumar,user43@mail.com,Mumbai,Telangana,2022-07-01,Regular
C100044,Ganesh Reddy,user44@mail.com,Hyderabad,Delhi,2021-09-12,Regular
C100045,Vijay Raj,user45@mail.com,Jaipur,Gujarat,2021-08-05,Premium
C100046,Ramesh Sharma,user46@mail.com,delhi,West Bengal,2021-10-02,Premium
C100047,Ganesh Devi,user47@mail.com,Mumbai,Delhi,2021-08-12,Premium
C100048,Nithya Reddy,user48@mail.com,Chennai,West Bengal,2022-01-05,Regular
C100049,Sathish Prakash,user49@mail.com,Chennai,Karnataka,2024-06-03,VIP
C100050,Vijay Prakash,user50@mail.com,Chennai,Rajasthan,2021-03-25,VIP
C100051,Kavya Rao,user51@mail.com,Pune,West Bengal,2022-12-11,Premium
C100052,Vijay Rao,user52@mail.com,Chennai,Delhi,2023-12-06,New
C100053,Deepa Sharma,user53@mail.com,Chennai,Uttar Pradesh,2023-10-26,VIP
C100054,Manoj Iyer,user54@mail.com,Coimbatore,Delhi,2023-10-28,Premium
C100055,Kavya Prakash,user55@mail.com,Bangalore,Delhi,2022-08-20,Regular
C100056,Nithya Raj,user56@mail.com,Mumbai,Tamil Nadu,2021-05-19,VIP
C100057,Divya Raj,user57@mail.com,Coimbatore,Delhi,2024-04-09,New
C100058,Suresh Gupta,user58@mail.com,CHENNAI,Delhi,2022-02-06,VIP
C100059,Anitha Gupta,user59@mail.com,delhi,Tamil Nadu,2023-03-12,Premium
C100060,Deepa Sharma,user60@mail.com,,West Bengal,2024-07-20,New
C100061,Karthik Reddy,user61@mail.com,Ahmedabad,Maharashtra,2024-07-19,Regular
C100062,Manoj Sharma,user62@mail.com,Lucknow,Tamil Nadu,2021-12-11,VIP
C100063,Sathish Pillai,user63@mail.com,Bangalore,Gujarat,2023-02-08,Regular
C100064,Vijay Pillai,user64@mail.com,Coimbatore,West Bengal,2024-07-14,New
C100065,Arun Gupta,user65@mail.com,Kolkata,Gujarat,2024-11-27,Premium
C100066,Priya Gupta,user66@mail.com,Kolkata,Tamil Nadu,2022-03-07,Regular
C100067,Vijay Gupta,user67@mail.com,delhi,Rajasthan,2021-07-05,Regular
C100068,Ganesh Raj,user68@mail.com,Delhi,Delhi,2022-03-30,Regular
C100069,Meena Reddy,user69@mail.com,Bangalore,Gujarat,2024-11-09,Regular
C100070,Anitha Nair,user70@mail.com,delhi,Telangana,2022-09-10,Premium
C100071,Arun Rao,user71@mail.com,Hyderabad,Delhi,2024-04-13,VIP
C100072,Vijay Pillai,user72@mail.com,Bangalore,Tamil Nadu,2022-06-07,VIP
